"","Sequence","Cluster"
"ASV_1","ASV_1",1
"ASV_2","ASV_2",2
"ASV_3","ASV_3",2
"ASV_4","ASV_4",2
"ASV_5","ASV_5",2
"ASV_6","ASV_6",2
"ASV_7","ASV_7",2
"ASV_8","ASV_8",2
"ASV_9","ASV_9",2
"ASV_10","ASV_10",2
"ASV_11","ASV_11",2
"ASV_12","ASV_12",2
"ASV_13","ASV_13",2
"ASV_14","ASV_14",2
"ASV_15","ASV_15",2
"ASV_16","ASV_16",2
"ASV_17","ASV_17",2
"ASV_18","ASV_18",2
"ASV_19","ASV_19",2
"ASV_20","ASV_20",2
"ASV_21","ASV_21",2
"ASV_22","ASV_22",2
"ASV_23","ASV_23",2
"ASV_24","ASV_24",2
"ASV_25","ASV_25",2
"ASV_26","ASV_26",2
"ASV_27","ASV_27",2
"ASV_28","ASV_28",2
"ASV_29","ASV_29",2
"ASV_30","ASV_30",3
"ASV_31","ASV_31",2
"ASV_32","ASV_32",2
"ASV_33","ASV_33",2
"ASV_34","ASV_34",2
"ASV_35","ASV_35",2
"ASV_36","ASV_36",4
"ASV_37","ASV_37",2
"ASV_38","ASV_38",2
"ASV_39","ASV_39",2
"ASV_40","ASV_40",2
"ASV_41","ASV_41",1
"ASV_42","ASV_42",2
"ASV_43","ASV_43",2
"ASV_44","ASV_44",2
"ASV_45","ASV_45",2
"ASV_46","ASV_46",2
"ASV_47","ASV_47",5
"ASV_48","ASV_48",2
"ASV_49","ASV_49",2
"ASV_50","ASV_50",6
"ASV_51","ASV_51",1
"ASV_52","ASV_52",5
"ASV_53","ASV_53",7
"ASV_54","ASV_54",8
"ASV_55","ASV_55",9
"ASV_56","ASV_56",10
"ASV_57","ASV_57",2
"ASV_58","ASV_58",10
"ASV_59","ASV_59",1
"ASV_60","ASV_60",7
"ASV_61","ASV_61",11
"ASV_62","ASV_62",12
"ASV_63","ASV_63",13
"ASV_64","ASV_64",9
"ASV_65","ASV_65",14
"ASV_66","ASV_66",4
